id,cpf,nome,data,inicio,fim,analista,cliente,fila,resultado,motivo,hora
ID-1011,561.719.988-57,Usuario Exemplo 11,2026-03-01,2026-03-29 14:11:00,14:16:00,Analista 27,Cliente 1,Fila 14,Aprovado,Fluxo Normal,14:00
ID-1012,759.193.837-90,Usuario Exemplo 12,2026-02-07,2026-03-29 15:13:00,15:43:00,Analista 23,Cliente 4,Fila 2,Reprovado Fraude,Suspeita de Fraude,15:00
ID-1013,105.834.722-97,Usuario Exemplo 13,2026-02-13,2026-03-29 14:03:00,14:38:00,Analista 27,Cliente 5,Fila 13,Reprovado Politica,Divergência Cadastral,14:00
ID-1014,948.752.676-90,Usuario Exemplo 14,2026-02-26,2026-03-29 11:38:00,11:44:00,Analista 27,Cliente 2,Fila 1,Aprovado,Fluxo Normal,11:00
ID-1015,187.349.223-19,Usuario Exemplo 15,2026-01-27,2026-03-29 11:24:00,12:02:00,Analista 2,Cliente 1,Fila 16,Reprovado Politica,Renda Não Comprovada,11:00
ID-1016,278.288.342-98,Usuario Exemplo 16,2026-02-28,2026-03-29 10:59:00,11:22:00,Analista 9,Cliente 5,Fila 7,Pendente,Aguardando Documento,10:00
ID-1017,813.820.247-20,Usuario Exemplo 17,2026-02-02,2026-03-29 09:53:00,10:37:00,Analista 26,Cliente 5,Fila 16,Reprovado Fraude,Documentação Irregular,09:00
ID-1018,471.127.623-48,Usuario Exemplo 18,2026-03-16,2026-03-29 11:17:00,11:53:00,Analista 1,Cliente 2,Fila 4,Pendente,Aguardando Documento,11:00
ID-1019,960.366.648-64,Usuario Exemplo 19,2026-02-14,2026-03-29 11:34:00,11:44:00,Analista 18,Cliente 2,Fila 7,Pendente,Aguardando Documento,11:00
ID-1020,514.837.752-27,Usuario Exemplo 20,2026-03-01,2026-03-29 10:57:00,11:04:00,Analista 28,Cliente 3,Fila 12,Reprovado Politica,Perfil de Risco,10:00
ID-1021,524.710.446-57,Usuario Exemplo 21,2026-02-17,2026-03-29 09:53:00,10:09:00,Analista 20,Cliente 4,Fila 2,Reprovado Politica,Score Baixo,09:00
ID-1022,593.854.212-50,Usuario Exemplo 22,2026-02-12,2026-03-29 17:27:00,18:09:00,Analista 18,Cliente 2,Fila 6,Pendente,Aguardando Documento,17:00
ID-1023,165.163.359-91,Usuario Exemplo 23,2026-03-19,2026-03-29 14:13:00,14:46:00,Analista 20,Cliente 3,Fila 16,Pendente,Aguardando Documento,14:00
ID-1024,423.434.891-51,Usuario Exemplo 24,2026-02-24,2026-03-29 09:50:00,09:57:00,Analista 3,Cliente 3,Fila 13,Reprovado Politica,Perfil de Risco,09:00
ID-1025,105.461.173-25,Usuario Exemplo 25,2026-03-21,2026-03-29 11:12:00,11:23:00,Analista 23,Cliente 4,Fila 3,Aprovado,Fluxo Normal,11:00
ID-1026,459.701.404-69,Usuario Exemplo 26,2026-03-27,2026-03-29 11:00:00,11:20:00,Analista 11,Cliente 5,Fila 7,Reprovado Fraude,Documentação Irregular,11:00
ID-1027,470.341.206-33,Usuario Exemplo 27,2026-03-19,2026-03-29 15:19:00,15:37:00,Analista 12,Cliente 6,Fila 1,Pendente,Aguardando Documento,15:00
ID-1028,769.498.246-63,Usuario Exemplo 28,2026-03-23,2026-03-29 17:17:00,17:40:00,Analista 14,Cliente 2,Fila 1,Reprovado Politica,Documentação Irregular,17:00
ID-1029,953.108.551-34,Usuario Exemplo 29,2026-02-28,2026-03-29 15:47:00,16:09:00,Analista 4,Cliente 6,Fila 15,Reprovado Politica,Suspeita de Fraude,15:00
ID-1030,226.705.924-72,Usuario Exemplo 30,2026-02-12,2026-03-29 17:16:00,17:44:00,Analista 17,Cliente 2,Fila 15,Reprovado Politica,Divergência Cadastral,17:00
ID-1031,692.348.179-36,Usuario Exemplo 31,2026-03-01,2026-03-29 14:10:00,14:16:00,Analista 16,Cliente 4,Fila 12,Reprovado Fraude,Renda Não Comprovada,14:00
ID-1032,133.380.438-30,Usuario Exemplo 32,2026-02-17,2026-03-29 10:47:00,11:28:00,Analista 21,Cliente 4,Fila 15,Aprovado,Fluxo Normal,10:00
ID-1033,725.809.969-24,Usuario Exemplo 33,2026-01-28,2026-03-29 13:37:00,14:05:00,Analista 22,Cliente 6,Fila 3,Aprovado,Fluxo Normal,13:00
ID-1034,948.192.560-20,Usuario Exemplo 34,2026-01-31,2026-03-29 15:36:00,16:08:00,Analista 7,Cliente 1,Fila 16,Aprovado,Fluxo Normal,15:00
ID-1035,898.819.368-17,Usuario Exemplo 35,2026-03-02,2026-03-29 17:41:00,17:58:00,Analista 5,Cliente 4,Fila 2,Pendente,Aguardando Documento,17:00
ID-1036,360.138.802-40,Usuario Exemplo 36,2026-02-09,2026-03-29 15:52:00,16:12:00,Analista 26,Cliente 5,Fila 16,Reprovado Fraude,Perfil de Risco,15:00
ID-1037,618.764.522-11,Usuario Exemplo 37,2026-02-07,2026-03-29 16:55:00,17:39:00,Analista 20,Cliente 4,Fila 3,Aprovado,Fluxo Normal,16:00
ID-1038,603.454.419-22,Usuario Exemplo 38,2026-03-07,2026-03-29 17:12:00,17:18:00,Analista 28,Cliente 1,Fila 17,Reprovado Fraude,Perfil de Risco,17:00
ID-1039,241.127.252-50,Usuario Exemplo 39,2026-03-04,2026-03-29 15:16:00,15:22:00,Analista 28,Cliente 4,Fila 15,Reprovado Politica,Documentação Irregular,15:00
ID-1040,406.602.223-73,Usuario Exemplo 40,2026-03-03,2026-03-29 13:00:00,13:15:00,Analista 3,Cliente 6,Fila 7,Reprovado Fraude,Suspeita de Fraude,13:00
ID-1041,575.898.858-10,Usuario Exemplo 41,2026-03-26,2026-03-29 12:04:00,12:16:00,Analista 18,Cliente 1,Fila 2,Pendente,Aguardando Documento,12:00
ID-1042,607.405.790-34,Usuario Exemplo 42,2026-02-02,2026-03-29 12:41:00,12:55:00,Analista 23,Cliente 2,Fila 14,Pendente,Aguardando Documento,12:00
ID-1043,806.482.787-32,Usuario Exemplo 43,2026-02-19,2026-03-29 13:51:00,14:06:00,Analista 25,Cliente 6,Fila 6,Pendente,Aguardando Documento,13:00
ID-1044,724.201.356-72,Usuario Exemplo 44,2026-03-14,2026-03-29 15:59:00,16:41:00,Analista 11,Cliente 2,Fila 14,Pendente,Aguardando Documento,15:00
ID-1045,747.447.432-36,Usuario Exemplo 45,2026-02-05,2026-03-29 13:51:00,14:11:00,Analista 7,Cliente 3,Fila 10,Reprovado Fraude,Score Baixo,13:00
ID-1046,602.575.859-50,Usuario Exemplo 46,2026-03-23,2026-03-29 14:30:00,15:00:00,Analista 10,Cliente 4,Fila 7,Reprovado Fraude,Perfil de Risco,14:00
ID-1047,235.205.668-41,Usuario Exemplo 47,2026-03-07,2026-03-29 14:53:00,15:06:00,Analista 3,Cliente 3,Fila 16,Reprovado Fraude,Divergência Cadastral,14:00
ID-1048,460.831.709-53,Usuario Exemplo 48,2026-01-30,2026-03-29 15:55:00,16:16:00,Analista 27,Cliente 4,Fila 4,Reprovado Fraude,Suspeita de Fraude,15:00
ID-1049,342.294.361-16,Usuario Exemplo 49,2026-03-16,2026-03-29 14:06:00,14:21:00,Analista 7,Cliente 1,Fila 4,Reprovado Politica,Suspeita de Fraude,14:00
ID-1050,443.503.694-44,Usuario Exemplo 50,2026-03-02,2026-03-29 08:45:00,09:07:00,Analista 27,Cliente 6,Fila 6,Pendente,Aguardando Documento,08:00
ID-1051,800.987.499-23,Usuario Exemplo 51,2026-02-02,2026-03-29 15:46:00,16:06:00,Analista 25,Cliente 2,Fila 18,Reprovado Fraude,Score Baixo,15:00
ID-1052,170.751.666-88,Usuario Exemplo 52,2026-03-04,2026-03-29 15:09:00,15:21:00,Analista 7,Cliente 1,Fila 13,Pendente,Aguardando Documento,15:00
ID-1053,657.849.938-82,Usuario Exemplo 53,2026-03-09,2026-03-29 16:19:00,16:46:00,Analista 17,Cliente 3,Fila 11,Reprovado Fraude,Score Baixo,16:00
ID-1054,466.218.577-79,Usuario Exemplo 54,2026-03-15,2026-03-29 12:12:00,12:24:00,Analista 19,Cliente 5,Fila 2,Reprovado Fraude,Score Baixo,12:00
ID-1055,713.591.212-40,Usuario Exemplo 55,2026-03-10,2026-03-29 15:54:00,16:09:00,Analista 12,Cliente 2,Fila 16,Aprovado,Fluxo Normal,15:00
ID-1056,665.774.986-92,Usuario Exemplo 56,2026-03-04,2026-03-29 13:42:00,13:49:00,Analista 14,Cliente 6,Fila 13,Pendente,Aguardando Documento,13:00
ID-1057,793.357.729-93,Usuario Exemplo 57,2026-03-23,2026-03-29 10:33:00,11:13:00,Analista 22,Cliente 4,Fila 16,Reprovado Politica,Renda Não Comprovada,10:00
ID-1058,518.504.284-39,Usuario Exemplo 58,2026-03-01,2026-03-29 15:20:00,15:25:00,Analista 25,Cliente 5,Fila 4,Reprovado Politica,Documentação Irregular,15:00
ID-1059,123.996.351-39,Usuario Exemplo 59,2026-02-17,2026-03-29 11:55:00,12:28:00,Analista 12,Cliente 2,Fila 1,Aprovado,Fluxo Normal,11:00
ID-1060,290.936.536-77,Usuario Exemplo 60,2026-03-09,2026-03-29 11:14:00,11:28:00,Analista 27,Cliente 6,Fila 18,Aprovado,Fluxo Normal,11:00
ID-1061,226.528.394-45,Usuario Exemplo 61,2026-03-27,2026-03-29 11:51:00,12:33:00,Analista 17,Cliente 5,Fila 14,Aprovado,Fluxo Normal,11:00
ID-1062,443.849.438-22,Usuario Exemplo 62,2026-03-16,2026-03-29 17:45:00,18:24:00,Analista 11,Cliente 6,Fila 18,Aprovado,Fluxo Normal,17:00
ID-1063,251.548.995-43,Usuario Exemplo 63,2026-02-24,2026-03-29 08:29:00,09:00:00,Analista 26,Cliente 4,Fila 6,Aprovado,Fluxo Normal,08:00
ID-1064,880.655.217-60,Usuario Exemplo 64,2026-02-11,2026-03-29 17:37:00,18:15:00,Analista 3,Cliente 2,Fila 16,Aprovado,Fluxo Normal,17:00
ID-1065,920.385.834-57,Usuario Exemplo 65,2026-02-15,2026-03-29 08:36:00,08:45:00,Analista 12,Cliente 2,Fila 17,Reprovado Fraude,Score Baixo,08:00
ID-1066,984.657.883-93,Usuario Exemplo 66,2026-02-25,2026-03-29 10:18:00,10:49:00,Analista 9,Cliente 6,Fila 14,Aprovado,Fluxo Normal,10:00
ID-1067,436.256.232-98,Usuario Exemplo 67,2026-02-13,2026-03-29 12:05:00,12:12:00,Analista 19,Cliente 2,Fila 17,Aprovado,Fluxo Normal,12:00
ID-1068,527.436.452-59,Usuario Exemplo 68,2026-03-27,2026-03-29 09:38:00,10:01:00,Analista 14,Cliente 2,Fila 11,Reprovado Fraude,Perfil de Risco,09:00
ID-1069,916.872.297-77,Usuario Exemplo 69,2026-02-28,2026-03-29 10:29:00,10:57:00,Analista 27,Cliente 2,Fila 1,Pendente,Aguardando Documento,10:00
ID-1070,881.619.436-87,Usuario Exemplo 70,2026-02-03,2026-03-29 17:24:00,17:58:00,Analista 27,Cliente 3,Fila 12,Reprovado Politica,Renda Não Comprovada,17:00
ID-1071,339.945.134-46,Usuario Exemplo 71,2026-03-06,2026-03-29 11:39:00,12:20:00,Analista 11,Cliente 2,Fila 8,Aprovado,Fluxo Normal,11:00
ID-1072,710.930.795-54,Usuario Exemplo 72,2026-03-07,2026-03-29 09:05:00,09:50:00,Analista 25,Cliente 4,Fila 6,Reprovado Politica,Score Baixo,09:00
ID-1073,792.534.311-86,Usuario Exemplo 73,2026-02-13,2026-03-29 17:17:00,17:33:00,Analista 6,Cliente 1,Fila 11,Pendente,Aguardando Documento,17:00
ID-1074,941.213.348-45,Usuario Exemplo 74,2026-03-10,2026-03-29 08:13:00,08:35:00,Analista 21,Cliente 6,Fila 3,Reprovado Politica,Renda Não Comprovada,08:00
ID-1075,667.805.512-31,Usuario Exemplo 75,2026-02-11,2026-03-29 09:43:00,10:00:00,Analista 21,Cliente 4,Fila 15,Reprovado Fraude,Renda Não Comprovada,09:00
ID-1076,891.554.223-20,Usuario Exemplo 76,2026-02-15,2026-03-29 14:56:00,15:20:00,Analista 20,Cliente 5,Fila 17,Pendente,Aguardando Documento,14:00
ID-1077,890.614.245-97,Usuario Exemplo 77,2026-02-07,2026-03-29 10:14:00,10:24:00,Analista 1,Cliente 3,Fila 6,Reprovado Fraude,Suspeita de Fraude,10:00
ID-1078,506.496.175-97,Usuario Exemplo 78,2026-03-13,2026-03-29 12:16:00,12:33:00,Analista 18,Cliente 5,Fila 2,Reprovado Fraude,Renda Não Comprovada,12:00
ID-1079,859.563.915-23,Usuario Exemplo 79,2026-02-24,2026-03-29 10:58:00,11:43:00,Analista 8,Cliente 4,Fila 17,Reprovado Politica,Suspeita de Fraude,10:00
ID-1080,535.491.566-14,Usuario Exemplo 80,2026-01-28,2026-03-29 12:23:00,12:34:00,Analista 18,Cliente 5,Fila 9,Reprovado Fraude,Renda Não Comprovada,12:00
ID-1081,903.711.444-62,Usuario Exemplo 81,2026-03-16,2026-03-29 12:51:00,13:15:00,Analista 16,Cliente 3,Fila 1,Pendente,Aguardando Documento,12:00
ID-1082,890.844.883-79,Usuario Exemplo 82,2026-02-27,2026-03-29 08:24:00,09:00:00,Analista 10,Cliente 3,Fila 2,Reprovado Fraude,Divergência Cadastral,08:00
ID-1083,869.339.385-34,Usuario Exemplo 83,2026-03-20,2026-03-29 13:59:00,14:28:00,Analista 23,Cliente 6,Fila 16,Aprovado,Fluxo Normal,13:00
ID-1084,439.503.909-77,Usuario Exemplo 84,2026-01-31,2026-03-29 12:29:00,13:04:00,Analista 14,Cliente 2,Fila 17,Pendente,Aguardando Documento,12:00
ID-1085,353.317.185-93,Usuario Exemplo 85,2026-02-20,2026-03-29 15:51:00,16:35:00,Analista 12,Cliente 4,Fila 13,Reprovado Politica,Divergência Cadastral,15:00
ID-1086,638.646.160-70,Usuario Exemplo 86,2026-02-24,2026-03-29 10:45:00,10:54:00,Analista 2,Cliente 1,Fila 13,Pendente,Aguardando Documento,10:00
ID-1087,931.709.788-14,Usuario Exemplo 87,2026-01-29,2026-03-29 11:19:00,11:51:00,Analista 21,Cliente 6,Fila 1,Aprovado,Fluxo Normal,11:00
ID-1088,247.282.316-54,Usuario Exemplo 88,2026-02-17,2026-03-29 08:21:00,08:55:00,Analista 4,Cliente 4,Fila 2,Reprovado Fraude,Suspeita de Fraude,08:00
ID-1089,400.617.497-33,Usuario Exemplo 89,2026-02-13,2026-03-29 10:56:00,11:04:00,Analista 25,Cliente 4,Fila 11,Pendente,Aguardando Documento,10:00
ID-1090,962.987.788-86,Usuario Exemplo 90,2026-02-17,2026-03-29 15:21:00,15:26:00,Analista 9,Cliente 5,Fila 17,Reprovado Fraude,Documentação Irregular,15:00
ID-1091,776.757.203-83,Usuario Exemplo 91,2026-02-23,2026-03-29 08:53:00,09:29:00,Analista 26,Cliente 6,Fila 14,Reprovado Fraude,Renda Não Comprovada,08:00
ID-1092,571.306.549-49,Usuario Exemplo 92,2026-01-27,2026-03-29 08:10:00,08:21:00,Analista 28,Cliente 2,Fila 5,Reprovado Fraude,Divergência Cadastral,08:00
ID-1093,525.303.287-31,Usuario Exemplo 93,2026-02-22,2026-03-29 10:37:00,10:51:00,Analista 20,Cliente 4,Fila 11,Aprovado,Fluxo Normal,10:00
ID-1094,604.685.257-65,Usuario Exemplo 94,2026-02-01,2026-03-29 13:02:00,13:33:00,Analista 8,Cliente 1,Fila 6,Pendente,Aguardando Documento,13:00
ID-1095,798.132.200-98,Usuario Exemplo 95,2026-02-11,2026-03-29 17:30:00,18:00:00,Analista 12,Cliente 5,Fila 4,Aprovado,Fluxo Normal,17:00
ID-1096,888.695.329-39,Usuario Exemplo 96,2026-02-05,2026-03-29 17:41:00,18:12:00,Analista 18,Cliente 5,Fila 17,Reprovado Politica,Documentação Irregular,17:00
ID-1097,257.200.680-55,Usuario Exemplo 97,2026-02-01,2026-03-29 10:05:00,10:43:00,Analista 20,Cliente 5,Fila 15,Reprovado Politica,Renda Não Comprovada,10:00
ID-1098,475.216.250-53,Usuario Exemplo 98,2026-03-21,2026-03-29 12:02:00,12:34:00,Analista 13,Cliente 2,Fila 3,Aprovado,Fluxo Normal,12:00
ID-1099,133.822.298-94,Usuario Exemplo 99,2026-02-27,2026-03-29 09:44:00,09:54:00,Analista 19,Cliente 5,Fila 2,Reprovado Fraude,Suspeita de Fraude,09:00
ID-1100,263.264.376-22,Usuario Exemplo 100,2026-03-21,2026-03-29 17:20:00,18:05:00,Analista 21,Cliente 5,Fila 3,Pendente,Aguardando Documento,17:00
ID-1101,948.445.528-13,Usuario Exemplo 101,2026-02-11,2026-03-29 10:27:00,10:33:00,Analista 25,Cliente 6,Fila 16,Aprovado,Fluxo Normal,10:00
ID-1102,145.275.236-66,Usuario Exemplo 102,2026-02-09,2026-03-29 13:24:00,13:29:00,Analista 29,Cliente 5,Fila 10,Aprovado,Fluxo Normal,13:00
ID-1103,927.316.287-23,Usuario Exemplo 103,2026-03-27,2026-03-29 11:32:00,11:56:00,Analista 21,Cliente 5,Fila 5,Pendente,Aguardando Documento,11:00
ID-1104,803.962.387-24,Usuario Exemplo 104,2026-03-22,2026-03-29 12:52:00,13:06:00,Analista 26,Cliente 2,Fila 10,Reprovado Politica,Renda Não Comprovada,12:00
ID-1105,559.556.169-76,Usuario Exemplo 105,2026-02-12,2026-03-29 14:41:00,14:50:00,Analista 26,Cliente 2,Fila 17,Pendente,Aguardando Documento,14:00
ID-1106,162.192.724-45,Usuario Exemplo 106,2026-03-02,2026-03-29 08:56:00,09:18:00,Analista 19,Cliente 6,Fila 16,Pendente,Aguardando Documento,08:00
ID-1107,791.386.181-22,Usuario Exemplo 107,2026-01-28,2026-03-29 13:27:00,13:35:00,Analista 16,Cliente 4,Fila 5,Aprovado,Fluxo Normal,13:00
ID-1108,795.185.986-56,Usuario Exemplo 108,2026-02-17,2026-03-29 16:17:00,17:02:00,Analista 11,Cliente 1,Fila 11,Reprovado Politica,Divergência Cadastral,16:00
ID-1109,481.524.187-43,Usuario Exemplo 109,2026-02-11,2026-03-29 08:46:00,09:07:00,Analista 6,Cliente 2,Fila 3,Reprovado Fraude,Divergência Cadastral,08:00
ID-1110,360.495.567-65,Usuario Exemplo 110,2026-02-14,2026-03-29 09:39:00,10:01:00,Analista 30,Cliente 6,Fila 8,Aprovado,Fluxo Normal,09:00
ID-1111,587.248.366-35,Usuario Exemplo 111,2026-03-05,2026-03-29 16:13:00,16:41:00,Analista 29,Cliente 6,Fila 15,Reprovado Politica,Divergência Cadastral,16:00
ID-1112,368.759.764-74,Usuario Exemplo 112,2026-02-21,2026-03-29 10:02:00,10:20:00,Analista 27,Cliente 6,Fila 4,Reprovado Politica,Perfil de Risco,10:00
ID-1113,580.997.454-49,Usuario Exemplo 113,2026-02-14,2026-03-29 12:43:00,13:20:00,Analista 8,Cliente 1,Fila 10,Pendente,Aguardando Documento,12:00
ID-1114,916.500.474-57,Usuario Exemplo 114,2026-02-25,2026-03-29 09:33:00,09:49:00,Analista 1,Cliente 6,Fila 1,Reprovado Fraude,Renda Não Comprovada,09:00
ID-1115,390.270.555-42,Usuario Exemplo 115,2026-02-14,2026-03-29 16:43:00,16:53:00,Analista 2,Cliente 6,Fila 13,Aprovado,Fluxo Normal,16:00
ID-1116,631.353.320-11,Usuario Exemplo 116,2026-03-24,2026-03-29 10:19:00,10:34:00,Analista 25,Cliente 3,Fila 8,Aprovado,Fluxo Normal,10:00
ID-1117,559.810.355-10,Usuario Exemplo 117,2026-03-17,2026-03-29 09:39:00,10:14:00,Analista 10,Cliente 4,Fila 11,Aprovado,Fluxo Normal,09:00
ID-1118,616.660.544-48,Usuario Exemplo 118,2026-03-25,2026-03-29 16:26:00,16:53:00,Analista 18,Cliente 3,Fila 6,Reprovado Fraude,Perfil de Risco,16:00
ID-1119,238.155.667-44,Usuario Exemplo 119,2026-01-30,2026-03-29 11:15:00,11:43:00,Analista 12,Cliente 3,Fila 9,Reprovado Fraude,Divergência Cadastral,11:00
ID-1120,973.357.589-80,Usuario Exemplo 120,2026-02-05,2026-03-29 13:51:00,14:19:00,Analista 17,Cliente 3,Fila 3,Aprovado,Fluxo Normal,13:00
ID-1121,331.387.360-69,Usuario Exemplo 121,2026-03-16,2026-03-29 12:29:00,12:47:00,Analista 1,Cliente 4,Fila 15,Reprovado Fraude,Score Baixo,12:00
ID-1122,760.229.397-13,Usuario Exemplo 122,2026-02-22,2026-03-29 12:47:00,13:05:00,Analista 1,Cliente 2,Fila 8,Aprovado,Fluxo Normal,12:00
ID-1123,950.957.668-10,Usuario Exemplo 123,2026-03-07,2026-03-29 09:56:00,10:21:00,Analista 4,Cliente 5,Fila 10,Aprovado,Fluxo Normal,09:00
ID-1124,637.207.351-46,Usuario Exemplo 124,2026-03-03,2026-03-29 08:47:00,08:54:00,Analista 22,Cliente 2,Fila 11,Aprovado,Fluxo Normal,08:00
ID-1125,112.880.514-70,Usuario Exemplo 125,2026-03-21,2026-03-29 14:35:00,15:06:00,Analista 16,Cliente 5,Fila 18,Pendente,Aguardando Documento,14:00
ID-1126,654.564.531-84,Usuario Exemplo 126,2026-03-04,2026-03-29 12:54:00,13:35:00,Analista 11,Cliente 2,Fila 7,Reprovado Politica,Perfil de Risco,12:00
ID-1127,487.710.351-45,Usuario Exemplo 127,2026-03-18,2026-03-29 11:24:00,11:48:00,Analista 16,Cliente 6,Fila 8,Aprovado,Fluxo Normal,11:00
ID-1128,219.124.629-76,Usuario Exemplo 128,2026-02-11,2026-03-29 14:04:00,14:39:00,Analista 18,Cliente 6,Fila 13,Aprovado,Fluxo Normal,14:00
ID-1129,806.915.602-99,Usuario Exemplo 129,2026-03-02,2026-03-29 16:07:00,16:30:00,Analista 8,Cliente 2,Fila 14,Aprovado,Fluxo Normal,16:00
ID-1130,512.897.956-42,Usuario Exemplo 130,2026-03-22,2026-03-29 11:07:00,11:22:00,Analista 14,Cliente 6,Fila 4,Pendente,Aguardando Documento,11:00
ID-1131,307.852.773-10,Usuario Exemplo 131,2026-02-27,2026-03-29 17:25:00,17:44:00,Analista 14,Cliente 4,Fila 4,Reprovado Fraude,Perfil de Risco,17:00
ID-1132,430.319.225-52,Usuario Exemplo 132,2026-02-22,2026-03-29 15:32:00,15:40:00,Analista 13,Cliente 2,Fila 7,Reprovado Fraude,Renda Não Comprovada,15:00
ID-1133,443.435.444-78,Usuario Exemplo 133,2026-03-20,2026-03-29 14:05:00,14:27:00,Analista 30,Cliente 3,Fila 11,Pendente,Aguardando Documento,14:00
ID-1134,646.928.931-46,Usuario Exemplo 134,2026-01-28,2026-03-29 14:57:00,15:24:00,Analista 29,Cliente 3,Fila 17,Pendente,Aguardando Documento,14:00
ID-1135,842.337.100-90,Usuario Exemplo 135,2026-03-18,2026-03-29 08:39:00,08:50:00,Analista 26,Cliente 6,Fila 13,Aprovado,Fluxo Normal,08:00
ID-1136,765.113.735-25,Usuario Exemplo 136,2026-03-01,2026-03-29 16:02:00,16:43:00,Analista 28,Cliente 4,Fila 6,Reprovado Politica,Renda Não Comprovada,16:00
ID-1137,224.972.765-62,Usuario Exemplo 137,2026-01-31,2026-03-29 12:22:00,13:07:00,Analista 8,Cliente 5,Fila 9,Aprovado,Fluxo Normal,12:00
ID-1138,435.162.686-21,Usuario Exemplo 138,2026-03-29,2026-03-29 09:26:00,09:55:00,Analista 17,Cliente 6,Fila 14,Reprovado Politica,Renda Não Comprovada,09:00
ID-1139,514.737.374-40,Usuario Exemplo 139,2026-03-10,2026-03-29 10:55:00,11:38:00,Analista 7,Cliente 2,Fila 2,Reprovado Politica,Score Baixo,10:00
ID-1140,454.435.844-66,Usuario Exemplo 140,2026-02-04,2026-03-29 12:02:00,12:39:00,Analista 12,Cliente 3,Fila 16,Aprovado,Fluxo Normal,12:00
ID-1141,265.873.893-17,Usuario Exemplo 141,2026-02-23,2026-03-29 12:24:00,13:09:00,Analista 20,Cliente 2,Fila 4,Pendente,Aguardando Documento,12:00
ID-1142,318.298.989-25,Usuario Exemplo 142,2026-03-25,2026-03-29 08:20:00,08:44:00,Analista 11,Cliente 3,Fila 14,Aprovado,Fluxo Normal,08:00
ID-1143,446.857.907-17,Usuario Exemplo 143,2026-01-31,2026-03-29 11:36:00,12:12:00,Analista 25,Cliente 3,Fila 6,Reprovado Politica,Suspeita de Fraude,11:00
ID-1144,413.802.912-21,Usuario Exemplo 144,2026-03-09,2026-03-29 12:41:00,13:15:00,Analista 11,Cliente 6,Fila 17,Aprovado,Fluxo Normal,12:00
ID-1145,173.647.184-14,Usuario Exemplo 145,2026-03-15,2026-03-29 08:06:00,08:19:00,Analista 6,Cliente 2,Fila 6,Reprovado Fraude,Perfil de Risco,08:00
ID-1146,401.157.604-49,Usuario Exemplo 146,2026-03-07,2026-03-29 17:17:00,17:39:00,Analista 30,Cliente 2,Fila 15,Reprovado Politica,Documentação Irregular,17:00
ID-1147,243.481.875-87,Usuario Exemplo 147,2026-01-28,2026-03-29 17:07:00,17:33:00,Analista 22,Cliente 3,Fila 12,Pendente,Aguardando Documento,17:00
ID-1148,845.363.776-68,Usuario Exemplo 148,2026-02-01,2026-03-29 15:58:00,16:18:00,Analista 12,Cliente 3,Fila 12,Aprovado,Fluxo Normal,15:00
ID-1149,238.851.493-11,Usuario Exemplo 149,2026-02-05,2026-03-29 14:09:00,14:29:00,Analista 3,Cliente 4,Fila 18,Reprovado Politica,Divergência Cadastral,14:00
ID-1150,999.133.120-69,Usuario Exemplo 150,2026-02-27,2026-03-29 17:27:00,17:57:00,Analista 25,Cliente 2,Fila 17,Reprovado Politica,Renda Não Comprovada,17:00
